Title,Manufacturer,Author,Qualifier,Year,ModelNo,Rarity,CartType,MachineType,LController,RController,MD5,HelpUri
Stellar Track,Sears,,,1980,CX2614,Rare,,A2600NTSC,,,0b8d3002d8f744a753ba434a4d39249a,
Stell-a-Sketch,,,Homebrew,,,,,A2600NTSC,Driving,Driving,47aef18509051bab493589cb2619170b,
Stell-a-Sketch,,,Homebrew,,,,,A2600NTSC,,,18ed63e3ce5bc3dd2d8bd188b807f1a2,
Steroid Pitfall,HCC Software,,,,,,,A2600NTSC,,,177504abd4260c4265e1338955e9fa47,
Stopp die Gangster,Starsoft,,,,,,,A2600PAL,,,b17b9cc4103844dcda54f77f44acc93a,
Strahlen der Teufelsvoegel,,,,,,,,A2600PAL,,,f240ba9f8092d2e8a4c7d82c554bf509,
Strategy X,Gakken,,,1982,10,Extremely Rare,,A2600PAL,,,9333172e3c4992ecf548d3ac1f2553eb,
Strategy X,Gakken,,,1982,,,,A2600PAL,,,ef76ea05655a0b62cb1018c92b9b4b7d,
Strawberry Shortcake - Musical Match-Ups,Parker Bros,,,1983,PB5910,Uncommon,,A2600NTSC,,,e10d2c785aadb42c06390fae0d92f282,
Strawberry Shortcake Musical Match-Ups,Parker Bros,,,1983,,,,A2600PAL,,,516ffd008057a1d78d007c851e6eff37,
Street Racer - Speedway II,Atari,Larry Kaplan,,1978,CX2612,Uncommon,,A2600NTSC,Paddles,Paddles,396f7bc90ab4fa4975f8c74abe4e81f0,
Street Racer - Speedway II,Atari,Larry Kaplan,,1978,CX2612,Uncommon,,A2600NTSC,Paddles,Paddles,6ff4156d10b357f61f09820d03c0f852,
Street Racer - Speedway II,Atari,Larry Kaplan,,1978,CX2612,,,A2600PAL,Paddles,Paddles,e12e32dee68201b6765fcd0ed54d6646,
Street Racer - Speedway II (128-in-1 Junior Console) (4K),128-in-1 Junior Console,Larry Kaplan,,,,,,A2600PAL,Paddles,Paddles,8a6c84f481acf42abcb78ba5064ad755,
Stronghold,CommaVid,,,,CM-009,Extremely Rare,,A2600NTSC,,,7b3cf0256e1fa0fdc538caf3d5d86337,
Stunt Cycle,Atari,,Prototype,,,,,A2600NTSC,Paddles,Paddles,c3bbc673acf2701b5275e85d9372facf,
Sub Rescue (Real Title Unknown),,,,,,,,A2600PAL,,,9193b6fff6897d43274741d4f9855b6d,
Sub Scan,Sega,,,1983,002-01,Uncommon,,A2600NTSC,,,5af9cd346266a1f2515e1fbc86f5186a,
Sub Scan,Sega,,,1982,002-01,Uncommon,,A2600PAL,,,b095009004df341386d22b2a3fae3c81,
Submarine Commander,Sears,,,1982,CX2647,Extremely Rare,,A2600NTSC,,,f3f5f72bfdd67f3d0e45d097e11b8091,
Subterranea,Imagic,Mark Klein,,1983,O3213,Rare,,A2600NTSC,,,93c52141d3c4e1b5574d072f1afde6cd,
Subterranea,Imagic,Mark Klein,,1983,O3213,Rare,,A2600PAL,,,38de7b68379770b9bd3f7bf000136eb0,
Sucky Zepplin,,Nick Bensema,Homebrew,,,,,A2600NTSC,,,4ab4af3adcdae8cdacc3d06084fc8d6a,
Suicide Adventure,,George Veeder,Homebrew,,,,,A2600NTSC,,,cff578e5c60de8caecbee7f2c9bbb57b,
Summer Games,Atari,,,1987,CX7826,Scarce,A78SGR,A7800NTSC,,,cbb0746192540a13b4c7775c7ce2021f,http://www.atariage.com/manual_thumbs.html?SoftwareID=2175
